7501,26,8
7502,16721,16709
7503,850,1
7504,3244,0
7505,3265,7
7506,74015,2
7507,13792,0
7508,533,0
7509,928,43
7510,72,37
7511,183,6
7512,3,1
7513,287,241
7514,44,32
7515,81475,9
7516,399,0
7517,19561,0
7518,89523,10
7519,19993,280
7520,87593,89267
7521,16871,77
7522,2976,0
7523,19619,0
7524,265021,259933
7525,146,3
7526,4161,387
7527,337159,1
7528,83,0
7529,15175,0
7530,395521,2
7531,759,720
7532,14,11
7533,1795,1795
7534,3037,0
7535,70213,16
7536,77168,0
7537,11183,0
7538,1763,0
7539,32,26
7540,32,0
7541,12871,0
7542,24,12
7543,20,11
7544,182,12
7545,39,23
7546,941,927
7547,15877,0
7548,157,0
7549,11283,0
7550,77154,21
7551,98,48
7552,684,0
7553,3558,13
7554,197,11
7555,272,81
7556,486,0
7557,392579,23
7558,3297,0
7559,14281,0
7560,28265,28104
7561,6928,0
7562,363836,3
7563,408,12
7564,700,0
7565,3525,1
7566,14561,28
7567,679,61
7568,144,1
7569,157,99
7570,34,4
7571,20522,1717
7572,22,0
7573,11560,0
7574,16,3
7575,15810,1
7576,97,0
7577,19509,0
7578,8,2
7579,705,19
7580,18,8
7581,21,10
7582,364436,139
7583,17096,0
7584,31134,28029
7585,302,12
7586,2095,0
7587,6,3
7588,2,1
7589,16067,0
7590,252366,252375
7591,9588,0
7592,3100,0
7593,745,43
7594,2900,0
7595,140210,140302
7596,363389,0
7597,22156,3467
7598,69959,267
7599,77693,21
7600,1784,1758
