9201,1212,68
9202,16467,658
9203,30551,0
9204,673,5
9205,49,46
9206,3804,0
9207,55,29
9208,83,0
9209,28331,0
9210,3,0
9211,77495,0
9212,580,16
9213,3848,228
9214,152,145
9215,13999,4
9216,0,0
9217,54,22
9218,134,117
9219,10,4
9220,17,4
9221,22373,0
9222,710,15
9223,1237,1221
9224,100,0
9225,83716,83977
9226,118,86
9227,29024,1
9228,26,1
9229,630,573
9230,3065,8
9231,83641,21
9232,15,0
9233,422,266
9234,7071,7095
9235,604,200
9236,992,0
9237,1171,63
9238,76984,335
9239,22028,0
9240,28706,28709
9241,8954,0
9242,1700,0
9243,3069,2
9244,359,0
9245,689,409
9246,3077,1
9247,88,0
9248,15,5
9249,2045,61
9250,55831,55710
9251,579,510
9252,4,0
9253,37,15
9254,24,7
9255,26,4
9256,3519,2
9257,27714,0
9258,227,16
9259,365482,2883
9260,22,12
9261,567,558
9262,7,3
9263,79709,2486
9264,334321,0
9265,15716,12
9266,15866,35
9267,1678,5
9268,5,2
9269,70,20
9270,15663,1
9271,20577,50
9272,673,1
9273,4,1
9274,5127,0
9275,681,9
9276,62,4
9277,21706,0
9278,3637,0
9279,124,70
9280,20895,20919
9281,22092,0
9282,111308,111662
9283,15674,0
9284,362763,1
9285,49,24
9286,4888,0
9287,391514,1349
9288,7103,6980
9289,204,40
9290,92,8
9291,76572,2
9292,15797,78
9293,29593,0
9294,256,16
9295,76614,76634
9296,3510,2
9297,79,1
9298,3744,1
9299,618,601
9300,20893,20885
